01/28/2020,AQS,360550015,1,10,ppb,9,Rochester Near-Road,19,79.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
01/29/2020,AQS,360550015,1,19.7,ppb,18,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
01/30/2020,AQS,360550015,1,24.7,ppb,23,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
01/31/2020,AQS,360550015,1,29.9,ppb,27,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/01/2020,AQS,360550015,1,16.8,ppb,15,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/02/2020,AQS,360550015,1,13.3,ppb,12,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/03/2020,AQS,360550015,1,25.6,ppb,24,Rochester Near-Road,19,79.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/04/2020,AQS,360550015,1,21.9,ppb,20,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/05/2020,AQS,360550015,1,7.7,ppb,7,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/06/2020,AQS,360550015,1,13.4,ppb,12,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/07/2020,AQS,360550015,1,9.4,ppb,8,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/08/2020,AQS,360550015,1,21.8,ppb,20,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
02/09/2020,AQS,360550015,1,21.2,ppb,20,Rochester Near-Road,24,100.0000,42602,Nitrogen dioxide (NO2),40380,Rochester, NY,36,New York,055,Monroe,43.1450126807403,-77.5572802599319
